VATTENID,MS_CD,EU_CD,VF,NAMN,LOKAL,Ndatum1,DATUM1,Anno,KVALITET,BONETYP,NBONET,NpueBtotal,NpueBAbb,NpueBGäd,NpueBMör,NpueBRöd,Narter,RT90X,RT90Y,S99TM_N,S99TM_E,WGS84_N,WGS84_E
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20020916,2002,Stand,Bnord12,24,195.33,75.83,0.00,114.92,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20060918,2006,Stand,Bnord12,24,238.79,122.46,0.13,107.00,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20070909,2007,Stand,Bnord12,24,109.04,43.50,0.00,54.58,,4,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20090909,2009,Stand,Bnord12,24,135.25,76.25,0.00,51.42,,5,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20100914,2010,Inven,Bnord12,24,197.13,126.17,0.13,59.21,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20110913,2011,Stand,Bnord12,24,211.50,147.50,0.00,58.96,,5,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20120909,2012,Stand,Bnord12,24,164.04,72.67,0.04,84.25,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20130908,2013,Stand,Bnord12,24,215.83,120.04,0.04,88.63,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20140916,2014,Stand,Bnord12,24,232.08,117.88,0.04,105.21,,6,6200620,1352240,6197343,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,12,20150915,2015,Stand,Bnord12,24,157.38,100.92,0.04,53.33,,6,6200620,1352240,6197343,402625,55.91165,13.44218
