Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Brännträsket,SE728095-175926,WA90190526,Sjö,Sjöar och Vattendrag,Norra Sverige,21.4169258,65.5262484
Bergträsket,SE733110-182955,WA66160412,Sjö,Sjöar och Vattendrag,Norra Sverige,23.04998021,65.90888135
Källsjön,SE683582-154935,WA29887255,Sjö,Sjöar och Vattendrag,Norra Sverige,16.73574862,61.633598
V. Rännöbodsjön,SE691365-156127,WA17667097,Sjö,Sjöar och Vattendrag,Norra Sverige,16.98720916,62.33010177
Valasjön,SE698918-158665,WA57901934,Sjö,Sjöar och Vattendrag,Norra Sverige,17.51528741,63.00245108
Svartvattnet,SE706672-167201,WA99627860,Sjö,Sjöar och Vattendrag,Norra Sverige,19.28021825,63.6664772
Sidensjön,SE709218-169710,WA64907980,Sjö,Sjöar och Vattendrag,Norra Sverige,19.81800274,63.8812076
Täftesträsket,SE711365-171748,WA88766629,Sjö,Sjöar och Vattendrag,Norra Sverige,20.26201723,64.06114768
Bjännsjön,SE713404-172465,WA28784510,Sjö,Sjöar och Vattendrag,Norra Sverige,20.43873091,64.2388836
Gosjön,SE677506-156174,WA20127072,Sjö,Sjöar och Vattendrag,Norra Sverige,16.94931226,61.08667172
Spjutsjön,SE672467-148031,WA42559716,Sjö,Sjöar och Vattendrag,Norra Sverige,15.44527639,60.63879257
Njalakjaure,SE741340-153576,WA64432104,Sjö,Sjöar och Vattendrag,Fjäll,16.61849869,66.81563475
Ö. Särnamannasjön,SE683337-133785,WA41997143,Sjö,Sjöar och Vattendrag,Fjäll,12.75161621,61.58062555
N. Särnamannasjön,SE683421-133742,WA25434149,Sjö,Sjöar och Vattendrag,Fjäll,12.74277214,61.58797879
Gåtejaure,SE698735-139620,WA48463242,Sjö,Sjöar och Vattendrag,Fjäll,13.75763202,62.98151625
Vuolejaure,SE698561-139682,WA84032761,Sjö,Sjöar och Vattendrag,Fjäll,13.77092889,62.96608514
Vitträsket,SE718150-168580,WA48721021,Sjö,Sjöar och Vattendrag,Norra Sverige,19.69978073,64.68678911
Norra Reivo,SE730091-165102,WA24034604,Sjö,Sjöar och Vattendrag,Norra Sverige,19.10292954,65.77342552
Pahajärvi,SE742829-183168,WA21335710,Sjö,Sjöar och Vattendrag,Norra Sverige,23.3528896,66.77094257
Jutsajaure,SE744629-167999,WA55325208,Sjö,Sjöar och Vattendrag,Norra Sverige,19.94364702,67.05896493
Valkeajärvi,SE751252-175433,WA51513798,Sjö,Sjöar och Vattendrag,Norra Sverige,21.78979408,67.59630346
Stensjön,SE683673-154083,WA70448628,Sjö,Sjöar och Vattendrag,Norra Sverige,16.57530668,61.64275858
Hällvattnet,SE704955-159090,WA38350845,Sjö,Sjöar och Vattendrag,Norra Sverige,17.63305269,63.54273394
Remmarsjön,SE708619-162132,WA79262932,Sjö,Sjöar och Vattendrag,Norra Sverige,18.27263642,63.86203581
Rödingträsket,SE711924-163150,WA29110008,Sjö,Sjöar och Vattendrag,Norra Sverige,18.50792302,64.15450102
Ögerträsket,SE712246-170866,WA89985235,Sjö,Sjöar och Vattendrag,Norra Sverige,20.09400415,64.14537231
Långsjön,SE673534-153381,WA42150382,Sjö,Sjöar och Vattendrag,Norra Sverige,16.42480366,60.73361821
Abiskojaure,SE758208-161749,WA29045099,Sjö,Sjöar och Vattendrag,Norra Sverige,18.65249233,68.30582634
Stor-Arasjön,SE716717-158596,WA36818659,Sjö,Sjöar och Vattendrag,Norra Sverige,17.60035039,64.59856517
Storvindeln,SE728271-157578,WA38760283,Sjö,Sjöar och Vattendrag,Norra Sverige,17.45064539,65.63685977
Vuolgamjaure,SE728744-162653,WA96766414,Sjö,Sjöar och Vattendrag,Norra Sverige,18.55606474,65.66334526
Louvvajaure,SE736804-160569,WA66869503,Sjö,Sjöar och Vattendrag,Norra Sverige,18.16945192,66.39306653
Båtkåjaure,SE742442-153530,WA96539378,Sjö,Sjöar och Vattendrag,Norra Sverige,16.61125794,66.91449301
Latnjajaure,SE758677-161050,WA49065685,Sjö,Sjöar och Vattendrag,Norra Sverige,18.48826256,68.35064395
Tryssjön,SE670275-146052,WA89222377,Sjö,Sjöar och Vattendrag,Norra Sverige,15.08803598,60.44061176
Sangen,SE686849-145214,WA48440228,Sjö,Sjöar och Vattendrag,Norra Sverige,14.89383411,61.92688802
Tväringen,SE690345-149315,WA90290627,Sjö,Sjöar och Vattendrag,Norra Sverige,15.67327384,62.24352999
Fyrsjön,SE704082-148125,WA80286207,Sjö,Sjöar och Vattendrag,Norra Sverige,15.42884778,63.47555948
Degervattnet,SE708512-152086,WA39243328,Sjö,Sjöar och Vattendrag,Norra Sverige,16.2293611,63.87283721
Stor-Tjulträsket,SE731799-151196,WA41975577,Sjö,Sjöar och Vattendrag,Norra Sverige,16.06788438,65.96191403
Övre Fjätsjön,SE690617-134197,WA93182800,Sjö,Sjöar och Vattendrag,Norra Sverige,12.76490708,62.23466928
Tronntjärnarna,SE698860-135948,,Sjö,Sjöar och Vattendrag,Norra Sverige,13.03317677,62.98037488
Östra Helgtjärnen,SE700796-136901,WA20212661,Sjö,Sjöar och Vattendrag,Norra Sverige,13.20551578,63.15698998
Stor-Björsjön,SE706083-132287,WA25599103,Sjö,Sjöar och Vattendrag,Norra Sverige,12.23320879,63.6111459
Rädsjön,SE674570-141911,WA24280365,Sjö,Sjöar och Vattendrag,Norra Sverige,14.31845746,60.81977642
Bösjön,SE680235-141799,WA63146294,Sjö,Sjöar och Vattendrag,Norra Sverige,14.27350522,61.32776045
Stor-Backsjön,SE695220-143383,WA51284243,Sjö,Sjöar och Vattendrag,Norra Sverige,14.51347677,62.67504045
Dunnervattnet,SE713131-144608,WA64322958,Sjö,Sjöar och Vattendrag,Norra Sverige,14.69169129,64.28355248
Gipsjön,SE672729-138082,WA67930382,Sjö,Sjöar och Vattendrag,Norra Sverige,13.62645692,60.64504778
Horsan,SE642008-168013,WA25839981,Sjö,Sjöar och Vattendrag,Södra Sverige,18.84089813,57.8688197
Bästeträsk,SE642555-168553,WA14564967,Sjö,Sjöar och Vattendrag,Södra Sverige,18.93602139,57.91565168
Tärnan,SE660688-164478,WA18225072,Sjö,Sjöar och Vattendrag,Södra Sverige,18.36602533,59.55703801
Fysingen,SE660749-161885,WA17184339,Sjö,Sjöar och Vattendrag,Södra Sverige,17.90810384,59.57066973
Edasjön,SE663365-161779,WA97078589,Sjö,Sjöar och Vattendrag,Södra Sverige,17.90399756,59.80562908
Ekholmssjön,SE663907-156927,WA38386938,Sjö,Sjöar och Vattendrag,Södra Sverige,17.04155307,59.86521109
Siggeforasjön,SE665175-157559,WA74960253,Sjö,Sjöar och Vattendrag,Södra Sverige,17.15894357,59.9778841
Ämten,SE661206-147901,WA43691040,Sjö,Sjöar och Vattendrag,Södra Sverige,15.4331555,59.62802468
Lien,SE663216-148449,WA68069464,Sjö,Sjöar och Vattendrag,Södra Sverige,15.52877924,59.80868049
Övre Skärsjön,SE663532-148571,WA61007061,Sjö,Sjöar och Vattendrag,Södra Sverige,15.5502998,59.83708487
Dagarn,SE664197-149337,WA79921026,Sjö,Sjöar och Vattendrag,Södra Sverige,15.6866801,59.89696781
Västra Skälsjön,SE664620-148590,WA76489320,Sjö,Sjöar och Vattendrag,Södra Sverige,15.55293675,59.93475419
Mäsen,SE665654-149206,WA42018902,Sjö,Sjöar och Vattendrag,Södra Sverige,15.66272649,60.02772583
Hällsjön,SE667151-149602,WA23078743,Sjö,Sjöar och Vattendrag,Södra Sverige,15.73344593,60.1621436
Djupa Holmsjön,SE656263-156963,WA64588793,Sjö,Sjöar och Vattendrag,Södra Sverige,17.02301225,59.17915186
Stensjön,SE656515-164330,WA40009280,Sjö,Sjöar och Vattendrag,Södra Sverige,18.31375691,59.18257519
Årsjön,SE656612-164132,WA17355956,Sjö,Sjöar och Vattendrag,Södra Sverige,18.27812516,59.19268266
Långsjön,SE656640-164224,WA38535539,Sjö,Sjöar och Vattendrag,Södra Sverige,18.29436162,59.19484225
Flaten,SE657226-163399,WA64410428,Sjö,Sjöar och Vattendrag,Södra Sverige,18.15382035,59.25013964
Långsjön,SE657387-162326,WA25215341,Sjö,Sjöar och Vattendrag,Södra Sverige,17.96671191,59.26779714
Trekanten,SE657886-162585,WA69010885,Sjö,Sjöar och Vattendrag,Södra Sverige,18.01508954,59.31184949
Skärgölen,SE651573-152481,WA99393201,Sjö,Sjöar och Vattendrag,Södra Sverige,16.23389749,58.76312049
Rundbosjön,SE652177-159038,WA44530315,Sjö,Sjöar och Vattendrag,Södra Sverige,17.36908583,58.80859493
Björken,SE652707-159032,WA31838586,Sjö,Sjöar och Vattendrag,Södra Sverige,17.37018582,58.85616535
Älgsjön,SE655275-153234,WA16744634,Sjö,Sjöar och Vattendrag,Södra Sverige,16.36940029,59.09493802
Lillsjön,SE655380-155738,WA21110270,Sjö,Sjöar och Vattendrag,Södra Sverige,16.80647933,59.101733
Stora Envättern,SE655605-158820,WA98720344,Sjö,Sjöar och Vattendrag,Södra Sverige,17.34494777,59.11664663
