Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Abiskojokk Röda Bron,SE758793-162214,WA37110481,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.77184013,68.35624547
Ådalsån,SE695998-156845,WA55967934,Vattendrag,Sjöar och Vattendrag,Norra Sverige,17.17074524,62.71294703
Akkarjåkkå,SE753460-165285,WA34033118,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.44000492,67.86419802
"Ålbergaån, Kila",SE651375-154304,WA51800039,Vattendrag,Sjöar och Vattendrag,Södra Sverige,16.54850779,58.74391719
Alep Uttjajåkkå,SE739283-163835,WA60052782,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.92669468,66.60227332
Alsterån Getebro,SE632033-152167,,Vattendrag,Flodmynningar,Södra Sverige,16.16188155,57.00891116
Alterälven Norrfjärden,SE726942-176351,,Vattendrag,Flodmynningar,Norra Sverige,21.48593021,65.41992929
Ammerån Skyttmon,SE703411-148805,WA56088945,Vattendrag,Sjöar och Vattendrag,Norra Sverige,15.5657659,63.41565164
Ångermanälven Sollefteå,SE700773-157350,,Vattendrag,Flodmynningar,Norra Sverige,17.26414533,63.17171781
Anråsälven,SE651029-124710,WA36556832,Vattendrag,Sjöar och Vattendrag,Södra Sverige,11.33547272,58.63928534
Arån,SE697717-139085,WA11914890,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.83446717,62.75168165
"Ätran, Falkenberg",SE631338-129833,,Vattendrag,Flodmynningar,Södra Sverige,12.49463858,56.90312913
Bastuån,SE700012-140354,WA38611588,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.83138912,63.26786699
Bäveån Uddevalla,SE647582-127369,,Vattendrag,Flodmynningar,Södra Sverige,11.93926939,58.3471167
Bergmyrbäcken,SE728070-165120,WA66448021,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.08386106,65.59238888
Björnbackån,SE673809-153401,,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.4289439,60.75827733
Bjurbäcken,SE718265-171875,WA95930698,Vattendrag,Sjöar och Vattendrag,Norra Sverige,20.38976032,64.6773374
Bjurforsbäcken,SE666881-151821,WA11915510,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.13282772,60.13752801
Blankan,SE627958-134477,WA56955874,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.30951557,56.5619198
Botorpström Brunnsö,SE639339-154122,,Vattendrag,Flodmynningar,Södra Sverige,16.49581798,57.66357274
Bråtängsbäcken,SE650799-143323,WA11935716,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.65378075,58.68919187
Bulsjöån,SE641475-147365,WA86777326,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.36137596,57.85645234
Dalälven Älvkarleby,SE671742-158974,,Vattendrag,Flodmynningar,Norra Sverige,17.44139366,60.56420642
Dammån,SE632137-147160,WA45416248,Vattendrag,Sjöar och Vattendrag,Södra Sverige,15.33768889,57.01787167
Delångersån Iggesund,SE683661-156793,,Vattendrag,Flodmynningar,Norra Sverige,17.08635313,61.63785056
Domneån Utl. Vättern,SE641827-139990,WA79424619,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.11805359,57.8776172
Emån Emsfors,SE633520-153920,,Vattendrag,Flodmynningar,Södra Sverige,16.45271801,57.14127116
Enån,SE664297-136937,WA63487998,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.52593462,59.87576802
Enningdalsälv N.Bullaren,SE653621-125394,,Vattendrag,Flodmynningar,Södra Sverige,11.53739694,58.87716846
"Fiskonbäcken, v.vid mynn",SE720990-147270,WA37926239,Vattendrag,Sjöar och Vattendrag,Norra Sverige,15.22640831,64.99158617
Forsmarksån Johannisfors,SE669500-163246,,Vattendrag,Flodmynningar,Södra Sverige,18.20479497,60.35137318
Gärebäcken,SE647707-141033,WA80380116,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.2712291,58.40756685
Gavleån Gävle,SE672915-157210,,Vattendrag,Flodmynningar,Norra Sverige,17.12415568,60.67300593
Gide älv Gideåbacka,SE703055-166572,,Vattendrag,Flodmynningar,Norra Sverige,19.11566243,63.34554673
Göta Älv Trollhättan,SE646771-129330,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,12.28074712,58.28411925
"Göta älv, Alelyckan",SE641071-127372,,Vattendrag,Flodmynningar,Södra Sverige,12.00237667,57.76386468
Gothemsån Hörsne,SE638491-166721,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,18.59906158,57.55842989
Hammarbäcken,SE688271-138240,WA71072371,Vattendrag,Sjöar och Vattendrag,Norra Sverige,13.99658532,62.11655329
Härån,SE684404-578511,WA62859200,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.59345221,61.77788687
Hästgångsån,SE638561-141289,WA62510992,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.27485999,57.56287216
Helgaboån,SE640085-138148,WA12737498,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.81641707,57.71679042
Helgeån Hammarsjön,SE620277-140091,,Vattendrag,Flodmynningar,Södra Sverige,14.21933323,55.94344134
Höjdabäcken,SE710354-155465,WA24742612,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.92323443,64.03440745
Hökvattsån,SE708380-145455,WA75124922,Vattendrag,Sjöar och Vattendrag,Norra Sverige,14.88077478,63.85866102
Hovgårdsån,SE631040-131581,WA55301346,Vattendrag,Sjöar och Vattendrag,Södra Sverige,12.78759804,56.87281453
Indalsälven Bergeforsen,SE693587-158205,,Vattendrag,Flodmynningar,Norra Sverige,17.39854876,62.52540632
Kalix älv Karlsborg,SE732407-183604,,Vattendrag,Flodmynningar,Norra Sverige,23.17317292,65.839595
Kärmsjöbäcken,SE708485-154920,WA98025719,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.80575199,63.86758144
Kävlingeån Högsmölla,SE618678-132881,,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.07665247,55.77973907
