Stationsnamn,StationsID,Region
Verkaån,SE617710-138599,Södra Sverige
Delångersån Iggesund,SE683661-156793,Norra Sverige
Skuggälven,SE654022-124861,Södra Sverige
Övre Lansjärv,SE740810-178405,Norra Sverige
Muddusälven,SE741419-169012,Norra Sverige
Lule älv Luleå,SE729186-178575,Norra Sverige
Kalix älv Karlsborg,SE732407-183604,Norra Sverige
Torne älv Mattila,SE733351-187900,Norra Sverige
Töre älv Infl.Bölträsket,SE733222-181059,Norra Sverige
Råne älv Niemisel,SE733833-177925,Norra Sverige
Kukkasjärvi,SE735526-183905,Norra Sverige
Vindelälven Maltbrännan,SE716805-166700,Norra Sverige
Bjurbäcken,SE718265-171875,Norra Sverige
"Skellefte älv, Kvistforsen",SE719095-173622,Norra Sverige
Ostvik,SE721000-174904,Norra Sverige
Pite älv Bölebyn,SE726410-175525,Norra Sverige
Alterälven Norrfjärden,SE726942-176351,Norra Sverige
Gide älv Gideåbacka,SE703055-166572,Norra Sverige
Lillån,SE706176-733260,Norra Sverige
Lögde älv Lögdeå,SE705438-167938,Norra Sverige
Öre älv Torrböle,SE707160-168739,Norra Sverige
Ume älv Stornorrfors,SE708979-170865,Norra Sverige
Rickleån Utl,SE711900-175034,Norra Sverige
"Svartberget, C7",SE713297-169256,Norra Sverige
Kvarnån,SE703626-153615,Norra Sverige
Storselsån,SE707204-161537,Norra Sverige
Ljungan Skallböleforsen,SE691743-155984,Norra Sverige
Viskansbäcken,SE692688-153260,Norra Sverige
Indalsälven Bergeforsen,SE693587-158205,Norra Sverige
Ådalsån,SE695998-156845,Norra Sverige
Ångermanälven Sollefteå,SE700773-157350,Norra Sverige
Västersel,SE703847-162474,Norra Sverige
Bjurforsbäcken,SE666881-151821,Norra Sverige
V. Dalälven Mockfjärd,SE670757-145007,Norra Sverige
Dalälven Älvkarleby,SE671742-158974,Norra Sverige
Gavleån Gävle,SE672915-157210,Norra Sverige
Sörjabäcken,SE673813-153174,Norra Sverige
Björnbackån,SE673809-153401,Norra Sverige
"Ljusnan, Ljusne Strömmar",SE678924-156862,Norra Sverige
Härån,SE684404-578511,Norra Sverige
Alep Uttjajåkkå,SE739283-163835,Norra Sverige
Killingi,SE749870-169055,Norra Sverige
Kitkiöjoki,SE753778-181417,Norra Sverige
Akkarjåkkå,SE753460-165285,Norra Sverige
Abiskojokk Röda Bron,SE758793-162214,Norra Sverige
Laxtjärnsbäcken,SE730224-165025,Norra Sverige
Bergmyrbäcken,SE728070-165120,Norra Sverige
Kärmsjöbäcken,SE708485-154920,Norra Sverige
