X,Y,wkt_geom,fid,UUID,MS_CD,EU_CD,VISS_MS_CD,SJONAMN,SJOID,CATEGORY,HARO,DAROID_UT,DISTRICT,COMP_AUTH,COUNTRY,WB,VERSION,URL_VISS,SHAPE_Leng,GVatten,G_EU_CD,G_MS_CD,centroid_x,centroid_y
15.51479387,64.93910501,Point (524331.30813278525602072 7201766.84378430526703596),5581,SE29DDE014-0723-4416-AB68-481B76C293FE,WA92762684,SE720380-148635,SE720380-148635,Stenhuvudtjärn Norr,720380-148635,LW,38000,720417-148652,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA92762684,614.168867,N,,,524331,7201767
14.34641704,64.9299919,Point (469099.4692659858847037 7200811.55152399465441704),5580,SE21C22A5A-6C1B-425B-A420-9960351948E2,WA72549995,SE720366-143115,SE720366-143115,,720366-143115,LW,38000,720410-143039,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA72549995,1523.142571,N,,,469099,7200812
15.52362791,64.93641822,Point (524751.48936475545633584 7201470.71794451214373112),5579,SE0DDDCC32-6D0F-4427-8FB4-1642AA782E9D,WA15841959,SE720365-148650,SE720365-148650,Stenhuvudtjärn S,720365-148650,LW,38000,720338-148665,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA15841959,852.150725,N,,,524751,7201471
18.35521749,64.92503646,Point (658605.88541235076263547 7204307.76641502976417542),5578,SEEBD5720A-9756-40EF-A057-6A2465446232,WA54054812,SE720333-162197,SE720333-162197,Yttre Gurkasjön,720333-162197,LW,28000,720474-162070,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA54054812,8833.574503,N,,,658606,7204308
14.63362946,64.9252495,Point (482675.1853140487219207 7200173.52329961769282818),5577,SE6B06C0B3-AA5A-4916-8A26-C258C5AA45A3,WA30698030,SE720324-144394,SE720324-144394,Båulanjaure,720324-144394,LW,38000,720251-144524,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA30698030,5868.273056,N,,,482675,7200174
14.37784805,64.92999177,Point (470585.07751132728299126 7200797.11584129557013512),5576,SE9536348B-7580-486A-B92F-32883E806389,WA51933539,SE720310-143216,SE720310-143216,Djupsjön,720310-143216,LW,38000,720293-143147,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA51933539,4655.321076,N,,,470585,7200797
14.35274083,64.74484531,Point (469186.87980130664072931 7180176.03114850167185068),5431,SEDA6B232F-1231-4521-985B-6A96717BCC84,WA73458665,SE718320-143024,SE718320-143024,,718320-143024,LW,38000,718338-143072,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA73458665,3707.271168,N,,,469187,7180176
14.44187418,64.73350627,Point (473418.56353910965844989 7178872.10878192447125912),5430,SEB0D27AEC-4117-47FD-BA00-A96AC7E25451,WA84719438,SE718312-143250,SE718312-143250,Sipmesjaure,718312-143250,LW,38000,718161-143557,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA84719438,12791.81224,N,,,473419,7178872
14.61519717,64.75198598,Point (481685.60586453322321177 7180869.62037522811442614),5429,SEF8287BFC-F444-4815-A30D-E31C0C02907F,WA48445851,SE718309-144322,SE718309-144322,Båulanjaure,718309-144322,LW,38000,718395-144383,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA48445851,4459.318397,N,,,481686,7180870
15.48539515,64.75016545,Point (523103.13704889110522345 7180699.6140986168757081),5428,SED557AFD8-4B32-4616-85E2-95ED71428DD7,WA41139401,SE718284-148654,SE718284-148654,Mellan-Rissjön,718284-148654,LW,38000,718390-148527,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA41139401,9632.545568,N,,,523103,7180700
20.52429584,64.67107494,Point (763446.96153876534663141 7183288.88034217339009047),5427,SEB6F2A1DE-240E-4003-9BFF-74E9700FB249,WA58687664,SE718282-172520,SE718282-172520,Brönstjärnen,718282-172520,LW,20000,718215-172519,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA58687664,1596.403041,N,,,763447,7183289
15.38821049,64.74932103,Point (518477.85526435653446242 7180573.6088822977617383),5426,SEFE9E34A8-9923-4513-9B4C-60DE8E9EA35E,WA62447781,SE718259-148134,SE718259-148134,Väster-Rissjön,718259-148134,LW,38000,718340-148093,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA62447781,6375.83103,N,,,518478,7180574
14.38776387,64.73812039,Point (470846.76469545223517343 7179409.67715555895119905),5425,SE8DDFA5CE-EDBA-4DD9-9FFA-0EF80E345712,WA77365815,SE718258-143255,SE718258-143255,,718258-143255,LW,38000,718212-143250,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA77365815,2104.570739,N,,,470847,7179410
20.6086481,64.65713622,Point (767599.18103044619783759 7182093.66941011045128107),5424,SEF0756C1F-2D5E-477C-BF40-F191B93F43F4,WA23493233,SE718255-172950,SE718255-172950,Skråmträsket,718255-172950,LW,20000,718101-173005,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA23493233,6588.666992,N,,,767599,7182094
18.70760719,64.73472187,Point (676491.68560417147818953 7184057.23604974523186684),5439,SE185C35E0-2D3E-4ADD-A951-03AF24B05DBC,WA89198978,SE718435-163765,SE718435-163765,Abborrträsket,718435-163765,LW,28000,718338-163917,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA89198978,13246.93014,N,,,676492,7184057
18.89723617,64.71578731,Point (685640.13431369420140982 7182491.99494350608438253),5438,SE7CB204B1-4661-48B3-B924-CB7FD067CD62,WA64827260,SE718426-164699,SE718426-164699,Stor-Holmträsket,718426-164699,LW,28000,718352-164734,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA64827260,18340.05742,N,,,685640,7182492
14.57214776,64.75442543,Point (479639.04148046835325658 7181155.41851141862571239),5437,SE5B004ABF-97CA-4D30-A616-22CA1F703CFB,WA87005131,SE718403-144091,SE718403-144091,Tjelonjaure,718411-144137,LW,38000,718428-144106,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA87005131,1777.882687,N,,,479639,7181155
20.86538477,64.67873665,Point (779599.30193129787221551 7185602.89015047624707222),5436,SE89F9E850-8200-4CBC-A008-146275FF8963,WA32909488,SE718392-174250,SE718392-174250,Gärdsmarksträsket,718392-174250,LW,21000,718494-174110,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA32909488,4896.255878,N,,,779599,7185603
15.3258796,64.77409347,Point (515496.71373768395278603 7183318.19975198339670897),5435,SE458D65C2-729D-4AE5-A118-C25FCF0AA3AD,WA84621146,SE718389-147776,SE718389-147776,Lövsjön,718389-147776,LW,38000,718694-147793,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA84621146,9176.56541,N,,,515497,7183318
14.92800477,64.75593125,Point (496573.75464880547951907 7181256.15429555345326662),5434,SEBDCED6B6-092E-4466-8F4C-13E9012AB280,WA30390614,SE718381-145823,SE718381-145823,,718381-145823,LW,38000,718278-145775,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA30390614,1800.646687,N,,,496574,7181256
19.01455975,64.71307241,Point (691242.16383820911869407 7182538.87078132852911949),5433,SEB627F59D-A0D3-452B-AF7A-0892E37B6441,WA54943340,SE718353-165242,SE718353-165242,Grundträsket,718353-165242,LW,28000,718238-165301,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA54943340,7093.242767,N,,,691242,7182539
14.67865756,64.74267929,Point (484701.33558309549698606 7179816.13069525640457869),5432,SE7237620D-8D0C-4351-962A-F602E50E8356,WA16565817,SE718321-144553,SE718321-144553,Gipperejaure,718321-144553,LW,38000,718262-144640,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA16565817,4685.136026,N,,,484701,7179816
19.66318463,64.69285852,Point (722266.42756057647056878 7182407.58681495860219002),5415,SE5856124E-F339-4D48-B6C8-F871557A2103,WA48721021,SE718150-168580,SE718150-168580,Vitträsket,718150-168580,LW,24000,718205-168403,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA48721021,7968.535035,N,,,722266,7182408
