X,Y,Stationsnamn,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,MS_CD C3
15.44527639,60.63879257,Spjutsjön,54,SE672467-148031,6722638,524356,WA42559716
17.90399756,59.80562908,Edasjön,55,SE663365-161779,6633334,662893,WA97078589
15.66272649,60.02772583,Mäsen,56,SE665654-149206,6654684,536934,WA42018902
15.73344593,60.1621436,Hällsjön,57,SE667151-149602,6669695,540709,WA23078743
13.62645692,60.64504778,Gipsjön,58,SE672729-138082,6724037,424887,WA67930382
13.33818071,59.89303933,Översjön,59,SE664410-136192,6640666,407015,WA79403718
18.27263642,63.86203581,Remmarsjön,60,SE708619-162132,7085765,660807,WA79262932
17.63305269,63.54273394,Hällvattnet,61,SE704955-159090,7048754,630861,WA38350845
17.15894357,59.9778841,Siggeforasjön,62,SE665175-157559,6650914,620487,WA74960253
14.37752741,56.24600455,Bäen,63,SE623624-141149,6233634,461425,WA93163816
21.78979408,67.59630346,Valkeajärvi,64,SE751252-175433,7513674,788304,WA51513798
17.51528741,63.00245108,Valasjön,65,SE698918-158665,6988354,627371,WA57901934
12.51730959,57.08398532,Skärsjön,66,SE633344-130068,6329472,349541,WA12885229
18.48826256,68.35064395,Latnjajaure,67,SE758677-161050,7586022,643552,WA49065685
15.35816369,56.32501995,Sännen,68,SE624421-147234,6242312,522150,WA21863308
14.93721179,56.17746481,Svinarydsjön,69,SE622803-144609,6225833,496102,WA43427014
14.68510196,56.28636014,Örsjön,70,SE624038-143063,6237996,480506,WA49933782
13.57921446,57.00739037,Harasjön,71,SE632231-136476,6319106,413711,WA20819678
13.23620875,56.85051003,Svartesjön,72,SE630558-134327,6302132,392431,NA
13.06532572,56.67150528,St Skärsjön,73,SE628606-133205,6282493,381448,WA43585030
15.42884778,63.47555948,Fyrsjön,74,SE704082-148125,7038648,521368,WA80286207
14.27271703,57.17569258,Älgarydssjön,75,SE633989-140731,6337178,456028,WA35245623
17.37018582,58.85616535,Björken,76,SE652707-159032,6526457,636722,WA31838586
16.36940029,59.09493802,Älgsjön,77,SE655275-153234,6551428,578455,WA16744634
13.42760918,56.76689975,Rammsjön,78,SE629570-135470,6292542,403889,WA87259643
12.33679175,57.55726646,Lilla Öresjön,79,SE638665-129243,6382547,340666,WA89076362
12.98413021,59.40945854,Överudssjön,80,SE659105-133982,6587380,385573,WA62848185
17.408631,59.16986156,N. Yngern,81,SE656206-159170,6561452,637680,WA84246238
17.35349717,59.11494659,Stora Envättern,82,SE655587-158869,6555227,634745,WA98720344
15.2573361,57.05149908,Hjärtsjön,83,SE632515-146675,6323148,515611,WA78510341
14.52958559,57.09198875,Fiolen,84,SE633025-142267,6327724,471494,WA60899891
14.51680635,57.15589326,Stora Skärsjön,85,SE633738-142203,6334843,470770,WA54145176
15.27118614,56.94783586,Storasjö,86,SE631360-146750,6311612,516497,WA93641753
12.29372887,59.60976084,Ulvsjön,87,SE661521-130182,6611064,347304,WA34719703
12.33991322,59.30237927,Bysjön,88,SE658086-130264,6576747,348540,WA10190925
15.6866801,59.89696781,Dagarn,89,SE664197-149337,6640136,538420,WA79921026
15.5502998,59.83708487,Övre Skärsjön,90,SE663532-148571,6633396,530845,WA61007061
14.92857653,56.87810012,Hinnasjön,91,SE630605-144655,6303819,495647,WA52131288
14.52040379,59.58616012,Limmingsjön,92,SE660804-142742,6605422,472916,WA91198389
11.77068723,58.22604562,Granvattnet,93,SE646293-126302,6458422,310367,WA96345108
11.61246118,58.81500236,Rotehogstjärnen,94,SE652902-125783,6524402,304388,WA20544146
