X,Y,Stationsnamn,Stationskoordinat N/X,Stationskoordinat E/Y,MD-MVM Id,EU id,MS_CD C3
18.771840126099,68.3562454695814,Abiskojokk Röda Bron,7587333,655172,177,SE758793-162214,WA37110481
19.4400049158998,67.8641980209098,Akkarjåkkå,7534424,686567,206,SE753460-165285,WA34033118
18.9266946822474,66.6022733236108,Alep Uttjajåkkå,7392516,673913,198,SE739283-163835,WA60052782
16.1618815527722,57.0089111604072,Alsterån Getebro,6318978,570563,44,SE632033-152167,NA
21.4859302057403,65.4199292920786,Alterälven Norrfjärden,7270752,800624,37,SE726942-176351,NA
15.5657659025271,63.415651643777,Ammerån Skyttmon,7032026,528249,169,SE703411-148805,WA56088945
19.0838610625735,65.5923888828812,Bergmyrbäcken,7280589,688201,204,SE728070-165120,WA66448021
20.3897603177966,64.6773373974956,Bjurbäcken,7183432,756984,197,SE718265-171875,WA95930698
16.1328277177183,60.137528008819,Bjurforsbäcken,6667267,562922,214,SE666881-151821,WA11915510
16.4289439033944,60.7582773257558,Björnbackån,6736711,577868,207,SE673809-153401,NA
16.4958179847371,57.6635727407223,Botorpström Brunnsö,6392240,589240,18966,SE639339-154122,NA
14.6537807532364,58.6891918655645,Bråtängsbäcken,6505496,479930,175,SE650799-143323,WA11935716
15.361375958648,57.8564523357004,Bulsjöån,6412786,521446,217,SE641475-147365,WA86777326
11.9392693899262,58.3471167026144,Bäveån Uddevalla,6471431,320875,31,SE647582-127369,NA
17.4413936566106,60.5642064151313,Dalälven Älvkarleby,6716732,633829,18970,SE671742-158974,NA
15.33768888646,57.0178716714053,Dammån,6319426,520504,199,SE632137-147160,WA45416248
17.0863531336318,61.6378505631083,Delångersån Iggesund,6835609,610559,18985,SE683661-156793,NA
14.1180535918427,57.8776171976133,Domneån Utl. Vättern,6415426,447692,171,SE641827-139990,WA79424619
16.4527180127278,57.1412711637358,Emån Emsfors,6334048,587911,18974,SE633520-153920,NA
11.537396941301,58.8771684649736,Enningdalsälv N.Bullaren,6531540,300414,35,SE653621-125394,NA
15.2264083066677,64.9915861654187,"Fiskonbäcken, v.vid mynn",7207536,510680,208,SE720990-147270,WA37926239
18.2047949724833,60.3513731756161,Forsmarksån Johannisfors,6694843,676810,30,SE669500-163246,NA
17.1241556848458,60.6730059330632,Gavleån Gävle,6728242,616052,22,SE672915-157210,NA
19.1156624340282,63.3455467330748,Gide älv Gideåbacka,7030703,705895,18982,SE703055-166572,NA
18.5990615764316,57.5584298868478,Gothemsån Hörsne,6385260,715290,45,SE638491-166721,NA
14.2712291048922,58.4075668477283,Gärebäcken,6474318,457414,209,SE647707-141033,WA80380116
12.2807471246554,58.2841192468058,Göta Älv Trollhättan,6463562,340569,18971,SE646771-129330,NA
12.0023766719413,57.7638646841031,"Göta älv, Alelyckan",6406368,321683,43,SE641071-127372,NA
13.8164170706084,57.7167904171343,Helgaboån,6397796,429490,220,SE640085-138148,WA12737498
14.2193332283786,55.9434413390643,Helgeån Hammarsjön,6200060,451241,26,SE620277-140091,NA
16.9232344296332,64.0344074517966,Höjdabäcken,7102266,593943,182,SE710354-155465,WA24742612
14.8807747790814,63.858661021767,Hökvattsån,7081270,494139,213,SE708380-145455,WA75124922
17.398548759446,62.5254063220554,Indalsälven Bergeforsen,6935006,623440,28,SE693587-158205,NA
23.1731729170776,65.8395949971402,Kalix älv Karlsborg,7326323,872437,27,SE732407-183604,NA
20.272091493497,67.521029200625,Killingi,7499027,724722,188,SE749870-169055,WA30011092
23.2559437421829,67.76318577477,Kitkiöjoki,7539708,847800,210,SE753778-181417,WA72266995
13.525963657247,60.0655849254546,Klarälven Edsforsen,6659630,417949,167,SE666294-137309,WA89864864
13.5183220601125,55.6616278880903,Klingavälsån Vomb,6169416,406789,174,SE617263-135608,WA14011444
13.6821724532228,57.8823843831427,Kolarebäcken,6416377,421852,224,SE641953-137406,WA39944872
